match_id,date,venue,team1,team2,winner,player_of_match,toss_winner,toss_decision,season
1082591 ,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuvraj Singh,Royal Challengers Bangalore,field,2017
1082592 ,2017-04-06,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,SPD Smith,Rising Pune Supergiant,field,2017
1082593 ,2017-04-07,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,CA Lynn,Kolkata Knight Riders,field,2017
1082594 ,2017-04-08,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,field,2017
1082595 ,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,KM Jadhav,Royal Challengers Bangalore,bat,2017
1082596 ,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,field,2017
1082597 ,2017-04-09,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,N Rana,Mumbai Indians,field,2017
1082598 ,2017-04-10,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,AR Patel,Royal Challengers Bangalore,bat,2017
1082599 ,2017-04-11,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,SV Samson,Rising Pune Supergiant,field,2017
1082600 ,2017-04-12,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,JJ Bumrah,Mumbai Indians,field,2017
1082601 ,2017-04-13,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,2017
1082602 ,2017-04-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,KA Pollard,Mumbai Indians,field,2017
1082603 ,2017-04-14,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,AJ Tye,Gujarat Lions,field,2017
1082604 ,2017-04-15,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,RV Uthappa,Sunrisers Hyderabad,field,2017
1082605 ,2017-04-15,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,CJ Anderson,Delhi Daredevils,bat,2017
1082606 ,2017-04-16,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,N Rana,Mumbai Indians,field,2017
1082607 ,2017-04-16,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,BA Stokes,Royal Challengers Bangalore,field,2017
1082608 ,2017-04-17,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,NM Coulter-Nile,Delhi Daredevils,bat,2017
1082609 ,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,B Kumar,Kings XI Punjab,field,2017
1082610 ,2017-04-18,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,CH Gayle,Gujarat Lions,field,2017
1082611 ,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,bat,2017
1082612 ,2017-04-20,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,JC Buttler,Mumbai Indians,field,2017
1082613 ,2017-04-21,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,SK Raina,Gujarat Lions,field,2017
1082614 ,2017-04-22,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,MJ McClenaghan,Delhi Daredevils,field,2017
1082615 ,2017-04-22,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,MS Dhoni,Rising Pune Supergiant,field,2017
1082616 ,2017-04-23,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,HM Amla,Gujarat Lions,field,2017
1082617 ,2017-04-23,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,NM Coulter-Nile,Royal Challengers Bangalore,field,2017
1082618 ,2017-04-24,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,BA Stokes,Mumbai Indians,field,2017
1082620 ,2017-04-26,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,field,2017
1082621 ,2017-04-27,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,AJ Tye,Gujarat Lions,field,2017
1082622 ,2017-04-28,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,field,2017
1082623 ,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,Kings XI Punjab,field,2017
1082624 ,2017-04-29,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,LH Ferguson,Royal Challengers Bangalore,field,2017
1082625 ,2017-04-29,Saurashtra Cricket Association Stadium,Gujarat Lions,Mumbai Indians,No Result,KH Pandya,Gujarat Lions,bat,2017
1082626 ,2017-04-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,field,2017
1082627 ,2017-04-30,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,DA Warner,Kolkata Knight Riders,field,2017
1082628 ,2017-05-01,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,RG Sharma,Royal Challengers Bangalore,bat,2017
1082629 ,2017-05-01,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,BA Stokes,Rising Pune Supergiant,field,2017
1082630 ,2017-05-02,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Mohammed Shami,Delhi Daredevils,field,2017
1082631 ,2017-05-03,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,RA Tripathi,Rising Pune Supergiant,field,2017
1082632 ,2017-05-04,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,RR Pant,Delhi Daredevils,field,2017
1082633 ,2017-05-05,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Sandeep Sharma,Royal Challengers Bangalore,field,2017
1082634 ,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,JD Unadkat,Sunrisers Hyderabad,field,2017
1082635 ,2017-05-06,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,LMP Simmons,Delhi Daredevils,field,2017
1082636 ,2017-05-07,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,2017
1082637 ,2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,DR Smith,Gujarat Lions,field,2017
1082638 ,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,S Dhawan,Mumbai Indians,bat,2017
1082639 ,2017-05-09,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,MM Sharma,Kolkata Knight Riders,field,2017
1082640 ,2017-05-10,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,SS Iyer,Delhi Daredevils,field,2017
1082641 ,2017-05-11,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,WP Saha,Mumbai Indians,field,2017
1082642 ,2017-05-12,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,KK Nair,Delhi Daredevils,bat,2017
1082643 ,2017-05-13,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Mohammed Siraj,Sunrisers Hyderabad,field,2017
1082644 ,2017-05-13,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,AT Rayudu,Kolkata Knight Riders,field,2017
1082645 ,2017-05-14,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,JD Unadkat,Rising Pune Supergiant,field,2017
1082646 ,2017-05-14,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,HV Patel,Royal Challengers Bangalore,bat,2017
1082647 ,2017-05-16,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Washington Sundar,Mumbai Indians,field,2017
1082648 ,2017-05-17,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,NM Coulter-Nile,Kolkata Knight Riders,field,2017
1082649 ,2017-05-19,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,KV Sharma,Mumbai Indians,field,2017
1082650 ,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,KH Pandya,Mumbai Indians,bat,2017
1136561 ,2018-04-07,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,DJ Bravo,Chennai Super Kings,field,2018
1136562 ,2018-04-08,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,KL Rahul,Kings XI Punjab,field,2018
1136563 ,2018-04-08,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,2018
1136564 ,2018-04-09,Rajiv Gandhi International Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,S Dhawan,Sunrisers Hyderabad,field,2018
1136565 ,2018-04-10,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,SW Billings,Chennai Super Kings,field,2018
1136566 ,2018-04-11,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,SV Samson,Delhi Daredevils,field,2018
1136567 ,2018-04-12,Rajiv Gandhi International Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,field,2018
1136568 ,2018-04-13,M.Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,UT Yadav,Royal Challengers Bangalore,field,2018
1136569 ,2018-04-14,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,JJ Roy,Delhi Daredevils,field,2018
1136570 ,2018-04-14,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,B Stanlake,Sunrisers Hyderabad,field,2018
1136571 ,2018-04-15,M.Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,SV Samson,Royal Challengers Bangalore,field,2018
1136572 ,2018-04-15,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,CH Gayle,Chennai Super Kings,field,2018
1136573 ,2018-04-16,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,N Rana,Delhi Daredevils,field,2018
1136574 ,2018-04-17,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,RG Sharma,Royal Challengers Bangalore,field,2018
1136575 ,2018-04-18,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,N Rana,Kolkata Knight Riders,field,2018
1136576 ,2018-04-19,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,CH Gayle,Kings XI Punjab,bat,2018
1136577 ,2018-04-20,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,SR Watson,Rajasthan Royals,field,2018
1136578 ,2018-04-21,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,KL Rahul,Kings XI Punjab,field,2018
1136579 ,2018-04-21,M.Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,field,2018
1136580 ,2018-04-22,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,AT Rayudu,Sunrisers Hyderabad,field,2018
1136581 ,2018-04-22,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,JC Archer,Mumbai Indians,bat,2018
1136582 ,2018-04-23,Arun Jaitley Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,AS Rajpoot,Delhi Daredevils,field,2018
1136583 ,2018-04-24,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Rashid Khan,Mumbai Indians,field,2018
